bounding_box,class_probability,classification_label,display,group_label,scores,scores_sequence,PARAMS,Probabilities_Updated,Map_Name_Updated,updated_lineitem_params,lineitem_number_Updated,fileId,PageNumber,Value_Canvas_Region_X,Value_Canvas_Region_Y,Value_Canvas_Region_Width,Value_Canvas_Region_Height,Map_Result_Text,lineitem_original,File_Name,Map_Name,Map_Name_Predicted,Map_Name_Original
"[715, 223, 65, 31, '200']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,715,223,65,31,200,,1900000276_2019_CA05.pdf,,No class,No class
"[825, 223, 64, 32, '890']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,825,223,64,32,890,,1900000276_2019_CA05.pdf,,No class,No class
"[905, 223, 280, 32, 'West St']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,905,223,280,32,West St,1.0,1900000276_2019_CA05.pdf,,No class,No class
"[393, 236, 52, 56, 'Hr']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,393,236,52,56,Hr,,1900000276_2019_CA05.pdf,,No class,No class
"[796, 242, 12, 3, '-']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,796,242,12,3,-,,1900000276_2019_CA05.pdf,,No class,No class
"[1629, 242, 174, 37, '07/27/18']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1629,242,174,37,07/27/18,1.0,1900000276_2019_CA05.pdf,,No class,No class
"[1343, 243, 148, 35, 'Invoice']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1343,243,148,35,Invoice,,1900000276_2019_CA05.pdf,,No class,No class
"[1507, 244, 104, 34, 'Date:']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1507,244,104,34,Date:,,1900000276_2019_CA05.pdf,,No class,No class
"[1837, 244, 104, 34, '12:53']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1837,244,104,34,12:53,,1900000276_2019_CA05.pdf,,No class,No class
"[171, 247, 190, 41, 'Durham']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,171,247,190,41,Durham,,1900000276_2019_CA05.pdf,,No class,No class
"[608, 271, 211, 39, 'Vancouver,']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,608,271,211,39,"Vancouver,",1.0,1900000276_2019_CA05.pdf,,No class,No class
"[835, 271, 58, 32, 'BC']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,835,271,58,32,BC,,1900000276_2019_CA05.pdf,,No class,No class
"[920, 271, 159, 32, 'V6C 1J9']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,920,271,159,32,V6C 1J9,1.0,1900000276_2019_CA05.pdf,,No class,No class
"[817, 330, 75, 24, '(604)']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,817,330,75,24,(604),,1900000276_2019_CA05.pdf,,No class,No class
"[920, 330, 143, 21, '257-1850']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,920,330,143,21,257-1850,,1900000276_2019_CA05.pdf,,No class,No class
"[606, 332, 176, 19, 'Vancouver:']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,606,332,176,19,Vancouver:,,1900000276_2019_CA05.pdf,,No class,No class
"[1621, 339, 173, 36, '07/26/18']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1621,339,173,36,07/26/18,,1900000276_2019_CA05.pdf,,No class,No class
"[1344, 340, 115, 35, 'Order']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1344,340,115,35,Order,,1900000276_2019_CA05.pdf,,No class,No class
"[1830, 340, 99, 34, '11:21']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1830,340,99,34,11:21,,1900000276_2019_CA05.pdf,,No class,No class
"[1473, 341, 104, 34, 'Date:']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,1473,341,104,34,Date:,,1900000276_2019_CA05.pdf,,No class,No class
"[2148, 352, 236, 47, 'ORDER']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,2148,352,236,47,ORDER,,1900000276_2019_CA05.pdf,,No class,No class
"[816, 364, 76, 24, '(604)']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,816,364,76,24,(604),,1900000276_2019_CA05.pdf,,No class,No class
"[920, 364, 143, 21, '257-1800']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,920,364,143,21,257-1800,,1900000276_2019_CA05.pdf,,No class,No class
"[606, 366, 55, 19, 'New']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,606,366,55,19,New,,1900000276_2019_CA05.pdf,,No class,No class
"[680, 366, 84, 19, 'West:']",1,No class,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","['No class', 'main|||item_description||line_items', 'main|||item_total||line_items', 'main|||Item_unit_count||line_items', 'main|||item_unit_value||line_items', 'main|||product_number||line_items', 'main|||item_unit_vat_rate||line_items', 'main|||line_item_number||line_items']","[1, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",No class,"[0.0, 0.0, 0.0, 0.0, 1.0]",,5e86ef31b4c91101a0c9f021,1,680,366,84,19,West:,,1900000276_2019_CA05.pdf,,No class,No class
